Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping_Days,Profit_Margin,Order_Year,Order_Month,High_Discount
1,CA-2016-152156,2016-11-08,2016-11-11,second class,CG-12520,Claire Gute,consumer,united states,henderson,kentucky,42420,south,FUR-BO-10001798,furniture,bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,3,0.16000000000000003,2016,11,no
2,CA-2016-152156,2016-11-08,2016-11-11,second class,CG-12520,Claire Gute,consumer,united states,henderson,kentucky,42420,south,FUR-CH-10000454,furniture,chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,3,0.3,2016,11,no
3,CA-2016-138688,2016-06-12,2016-06-16,second class,DV-13045,Darrin Van Huff,corporate,united states,los angeles,california,90036,west,OFF-LA-10000240,office supplies,labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,4,0.47000000000000003,2016,6,no
4,US-2015-108966,2015-10-11,2015-10-18,standard class,SO-20335,Sean O'Donnell,consumer,united states,fort lauderdale,florida,33311,south,FUR-TA-10000577,furniture,tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,7,-0.4,2015,10,yes
5,US-2015-108966,2015-10-11,2015-10-18,standard class,SO-20335,Sean O'Donnell,consumer,united states,fort lauderdale,florida,33311,south,OFF-ST-10000760,office supplies,storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,7,0.1125,2015,10,no
6,CA-2014-115812,2014-06-09,2014-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,FUR-FU-10001487,furniture,furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,5,0.29,2014,6,no
7,CA-2014-115812,2014-06-09,2014-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,OFF-AR-10002833,office supplies,art,Newell 322,7.28,4,0.0,1.9656,5,0.27,2014,6,no
8,CA-2014-115812,2014-06-09,2014-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,TEC-PH-10002275,technology,phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,5,0.09999999999999999,2014,6,no
9,CA-2014-115812,2014-06-09,2014-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,OFF-BI-10003910,office supplies,binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,5,0.31249999999999994,2014,6,no
10,CA-2014-115812,2014-06-09,2014-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,OFF-AP-10002892,office supplies,appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,5,0.3,2014,6,no
11,CA-2014-115812,2014-06-09,2014-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,FUR-TA-10001539,furniture,tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,5,0.05,2014,6,no
12,CA-2014-115812,2014-06-09,2014-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,TEC-PH-10002033,technology,phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,5,0.07500000000000001,2014,6,no
13,CA-2017-114412,2017-04-15,2017-04-20,standard class,AA-10480,Andrew Allen,consumer,united states,concord,north carolina,28027,south,OFF-PA-10002365,office supplies,paper,Xerox 1967,15.552,3,0.2,5.4432,5,0.35000000000000003,2017,4,no
14,CA-2016-161389,2016-12-05,2016-12-10,standard class,IM-15070,Irene Maddox,consumer,united states,seattle,washington,98103,west,OFF-BI-10003656,office supplies,binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,5,0.32499999999999996,2016,12,no
15,US-2015-118983,2015-11-22,2015-11-26,standard class,HP-14815,Harold Pawlan,home office,united states,fort worth,texas,76106,central,OFF-AP-10002311,office supplies,appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,4,-1.8,2015,11,yes
16,US-2015-118983,2015-11-22,2015-11-26,standard class,HP-14815,Harold Pawlan,home office,united states,fort worth,texas,76106,central,OFF-BI-10000756,office supplies,binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,4,-1.5,2015,11,yes
17,CA-2014-105893,2014-11-11,2014-11-18,standard class,PK-19075,Pete Kriz,consumer,united states,madison,wisconsin,53711,central,OFF-ST-10004186,office supplies,storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,7,0.02,2014,11,no
18,CA-2014-167164,2014-05-13,2014-05-15,second class,AG-10270,Alejandro Grove,consumer,united states,west jordan,utah,84084,west,OFF-ST-10000107,office supplies,storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2,0.18,2014,5,no
19,CA-2014-143336,2014-08-27,2014-09-01,second class,ZD-21925,Zuschuss Donatelli,consumer,united states,san francisco,california,94109,west,OFF-AR-10003056,office supplies,art,Newell 341,8.56,2,0.0,2.4824,5,0.29,2014,8,no
20,CA-2014-143336,2014-08-27,2014-09-01,second class,ZD-21925,Zuschuss Donatelli,consumer,united states,san francisco,california,94109,west,TEC-PH-10001949,technology,phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,5,0.075,2014,8,no
21,CA-2014-143336,2014-08-27,2014-09-01,second class,ZD-21925,Zuschuss Donatelli,consumer,united states,san francisco,california,94109,west,OFF-BI-10002215,office supplies,binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,5,0.325,2014,8,no
22,CA-2016-137330,2016-12-09,2016-12-13,standard class,KB-16585,Ken Black,corporate,united states,fremont,nebraska,68025,central,OFF-AR-10000246,office supplies,art,Newell 318,19.46,7,0.0,5.0596,4,0.25999999999999995,2016,12,no
23,CA-2016-137330,2016-12-09,2016-12-13,standard class,KB-16585,Ken Black,corporate,united states,fremont,nebraska,68025,central,OFF-AP-10001492,office supplies,appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,4,0.25999999999999995,2016,12,no
24,US-2017-156909,2017-07-16,2017-07-18,second class,SF-20065,Sandra Flanagan,consumer,united states,philadelphia,pennsylvania,19140,east,FUR-CH-10002774,furniture,chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2,-0.014285714285714287,2017,7,yes
25,CA-2015-106320,2015-09-25,2015-09-30,standard class,EB-13870,Emily Burns,consumer,united states,orem,utah,84057,west,FUR-TA-10000577,furniture,tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,5,0.22999999999999998,2015,9,no
26,CA-2016-121755,2016-01-16,2016-01-20,second class,EH-13945,Eric Hoffmann,consumer,united states,los angeles,california,90049,west,OFF-BI-10001634,office supplies,binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,4,0.36250000000000004,2016,1,no
27,CA-2016-121755,2016-01-16,2016-01-20,second class,EH-13945,Eric Hoffmann,consumer,united states,los angeles,california,90049,west,TEC-AC-10003027,technology,accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,4,0.13,2016,1,no
28,US-2015-150630,2015-09-17,2015-09-21,standard class,TB-21520,Tracy Blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,FUR-BO-10004834,furniture,bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,4,-0.54,2015,9,yes
29,US-2015-150630,2015-09-17,2015-09-21,standard class,TB-21520,Tracy Blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-BI-10000474,office supplies,binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,4,-0.7333333333333334,2015,9,yes
30,US-2015-150630,2015-09-17,2015-09-21,standard class,TB-21520,Tracy Blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,FUR-FU-10004848,furniture,furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,4,0.125,2015,9,no
31,US-2015-150630,2015-09-17,2015-09-21,standard class,TB-21520,Tracy Blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-EN-10001509,office supplies,envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,4,0.3375,2015,9,no
32,US-2015-150630,2015-09-17,2015-09-21,standard class,TB-21520,Tracy Blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-AR-10004042,office supplies,art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,4,0.11249999999999999,2015,9,no
33,US-2015-150630,2015-09-17,2015-09-21,standard class,TB-21520,Tracy Blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-BI-10001525,office supplies,binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,4,-0.8333333333333334,2015,9,yes
34,US-2015-150630,2015-09-17,2015-09-21,standard class,TB-21520,Tracy Blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-AR-10001683,office supplies,art,Lumber Crayons,15.76,2,0.2,3.546,4,0.22499999999999998,2015,9,no
35,CA-2017-107727,2017-10-19,2017-10-23,second class,MA-17560,Matt Abelman,home office,united states,houston,texas,77095,central,OFF-PA-10000249,office supplies,paper,Easy-staple paper,29.472,3,0.2,9.9468,4,0.33749999999999997,2017,10,no
36,CA-2016-117590,2016-12-08,2016-12-10,first class,GH-14485,Gene Hale,corporate,united states,richardson,texas,75080,central,TEC-PH-10004977,technology,phones,GE 30524EE4,1097.544,7,0.2,123.4737,2,0.11249999999999999,2016,12,no
37,CA-2016-117590,2016-12-08,2016-12-10,first class,GH-14485,Gene Hale,corporate,united states,richardson,texas,75080,central,FUR-FU-10003664,furniture,furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2,-0.775,2016,12,yes
38,CA-2015-117415,2015-12-27,2015-12-31,standard class,SN-20710,Steve Nguyen,home office,united states,houston,texas,77041,central,OFF-EN-10002986,office supplies,envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,4,0.3125,2015,12,no
39,CA-2015-117415,2015-12-27,2015-12-31,standard class,SN-20710,Steve Nguyen,home office,united states,houston,texas,77041,central,FUR-BO-10002545,furniture,bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,4,-0.08823529411764706,2015,12,yes
